題目,A,B,C,D,E,答案,題目代碼
QUESTION 52 An internal LOB is _____. NOT A,(A) A table.,(B) A column that is a primary key.,(C) Stored in the database.,"(D) A file stored outside of the database, with an internal pointer to it from a database column.",,登入後查看,https://app.yamol.tw/exam/24548?info=item.52
"複選題
QUESTION 53 Examine this code: CREATE OR REPLACE FUNCTION calc_sal(p_salary NUMBER) RETURN NUMBER IS v_raise NUMBER(4,2) DEFAULT 1.08; BEGIN RETURN v_raise * p_salary; END calc_sal; / Which statement accurately call the stored function CALC_SAL? (Choose two) 3行",(A) UPDATE employees (calc_sal(salary)) SET salary = salary * calc_sal(salary);,(B) INSERT calc_sal(salary) INTO employees WHERE department_id = 60;,(C) DELETE FROM employees(calc_sal(salary)) WHERE calc_sal(salary) > 1000;,"(D) SELECT salary, calc_sal(salary) FROM employees WHERE department_id = 60;","(E) SELECT last_name, salary, calc_sal(salary) FROM employees ORDER BY calc_sal(salary);",登入後查看,https://app.yamol.tw/exam/24548?info=item.53
"QUESTION 54 This statement fails when executed: CREATE OR REPLACE TRIGGER CALC_TEAM_AVG AFTER INSERT ON PLAYER BEGIN INSERT INTO PLAYER_BATSTAT (PLAYER_ID, SEASON_YEAR,AT_BATS,HITS) VALUES (:NEW.ID, 1997, 0,0); END; To which type must you convert the trigger to correct the error? short",(A) Row,(B) Statement,(C) ORACLE FORM trigger,(D) Before,,登入後查看,https://app.yamol.tw/exam/24548?info=item.54
"QUESTION 55 Examine this code: CREATE OR REPLACE PROCEDURE audit_emp (p_id IN emp_empno%TYPE) IS v_id NUMBER; PROCEDURE log_exec IS BEGIN INSERT INTO log_table (user_id, log_delete) VALUES (USER, SYSDATE); END log_exec; v_name VARCHAR2(20); BEGIN DELETE FROM emp WHERE empno = p_id; log_exec; SELECT ename, empno INTO v_name, v_id FROM emp WHERE empno = p_id; END audit_emp; Why does this code cause an error when compiled?",(A) An insert statement is not allowed in a subprogram declaration.,(B) Procedure LOG_EXEC should be declared before any identifiers.,(C) Variable v_name should be declared before declaring the LOG_EXEC procedure.,(D) The LOG_EXEC procedure should be invoked as EXECUTE log_exec with the AUDIT_EMP procedure.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.55
QUESTION 56 Examine this code: CREATE OR REPLACE PACKAGE metric_converter IS c_height CONSTRAINT NUMBER := 2.54; c_weight CONSTRAINT NUMBER := .454; FUNCTION calc_height (p_height_in_inches NUMBER) RETURN NUMBER; FUNCTION calc_weight (p_weight_in_pounds NUMBER) RETURN NUMBER; END; / CREATE OR REPLACE PACKAGE BODY metric_converter IS FUNCTION calc_height (p_height_in_inches NUMBER) RETURN NUMBER IS BEGIN RETURN p_height_in_inches * c_height; END calc_height; FUNCTION calc_weight (p_weight_in_pounds NUMBER) RETURN NUMBER IS BEGIN RETURN p_weight_in_pounds * c_weight END calc_weight END metric_converter; / CREATE OR REPLACE FUNCTION calc_height (p_height_in_inches NUMBER) RETURN NUMBER IS BEGIN RETURN p_height_in_inches * metric_converter.c_height; END calc_height; / Which statement is true? 中間,"(A) If you remove the package specification, then the package body and the stand alone stored function CALC_HEIGHT are removed.","(B) If you remove the package body, then the package specification and the stand alone stored function CALC_HEIGHT are removed.","(C) If you remove the package specification, then the package body is removed.","(D) If you remove the package body, then the package specification is removed.","(E) If you remove the stand alone stored function CALC_HEIGHT, then the METRIC_CONVERTER package body and the package specification are removed. (AB). The stand alone function CALC_HEIGHT cannot be created because its name is used in a packaged function.",登入後查看,https://app.yamol.tw/exam/24548?info=item.56
QUESTION 57 What is a condition predicate in a DML trigger?,(A) A conditional predicate allows you to specify a WHEN-LOGGING-ON condition in the trigger body.,(B) A conditional predicate means you use the NEW and OLD qualifiers in the trigger body as a condition.,(C) A conditional predicate allows you to combine several DBM triggering events into one in the trigger body.,(D) A conditional predicate allows you to specify a SHUTDOWN or STARTUP condition in the trigger body.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.57
"QUESTION 58 Examine this package specification: CREATE OR REPLACE PACKAGE concat_all IS v_string VARCHAR2(100); PROCEDURE combine (p_num_val NUMBER); PROCEDURE combine (p_date_val DATE); PROCEDURE combine (p_char_val VARCHAR2, p_num_val NUMBER); END concat_all; / Which overloaded COMBINE procedure declaration can be added to this package specification? 空",(A) PROCEDURE combine;,(B) PROCEDURE combine (p_no NUMBER);,"(C) PROCEDURE combine (p_val_1 VARCHAR2, p_val_2 NUMBER;","(D) PROCEDURE concat_all (p_num_val VARCHAR2, p_char_val NUMBER);",,登入後查看,https://app.yamol.tw/exam/24548?info=item.58
QUESTION 59 Local procedure A calls remote procedure B.Procedure B was compiled at 8 A.M. Procedure A was modified and recompiled at 9A.M. Remote procedure B was later modified and recompiled at 11 A.M. The dependency mode is set to TIMESTAMP. What happens when procedure A is invoked at 1 P.M? Long,(A) There is no affect on procedure A and it runs successfully.,(B) Procedure B is invalidated and recompiles when invoked.,(C) Procedure A is invalidated and recompiles for the first time it is invoked.,(D) Procedure A is invalidated and recompiles for the second time it is invoked.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.59
"複選題
QUESTION 60 Under which two circumstances do you design database triggers? (Choose two) to for",(A) To duplicate the functionality of other triggers.,(B) To replicate built-in constraints in the Oracle server such as primary key and foreign key.,"(C) To guarantee that when a specific operation is performed, related actions are performed.","(D) For centralized, global operations that should be fired for the triggering statement, regardless of which user or application issues the statement.",,登入後查看,https://app.yamol.tw/exam/24548?info=item.60
"QUESTION 61 Examine this procedure: CREATE OR REPLACE PROCEDURE DELETE_PLAYER (V_ID IN NUMBER) IS BEGIN DELETE FROM PLAYER WHERE ID = V_ID; EXCEPTION WHEN STATS_EXITS_EXCEPTION THEN DBMS_OUTPUT.PUT_LINE ('Cannot delete this player, child records exist in PLAYER_BAT_STAT table'); END; What prevents this procedure from being created successfully? L",(A) A comma has been left after the STATS_EXIST_EXCEPTION exception.,(B) The STATS_EXIST_EXCEPTION has not been declared as a number.,(C) The STATS_EXIST_EXCEPTION has not been declared as an exception.,(D) Only predefined exceptions are allowed in the EXCEPTION section.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.61
"QUESTION 62 Examine this package: CREATE OR REPLACE PACKAGE manage_emps IS tax_rate CONSTANT NUMBER(5,2) := .28; v_id NUMBER; PROCEDURE insert_emp (p_deptno NUMBER, p_sal NUMBER); PROCEDURE delete_emp; PROCEDURE update_emp; FUNCTION calc_tax (p_sal NUMBER) RETURN NUMBER; END manage_emps; / CREATE OR REPLACE PACKAGE BODY manage_emps IS PROCEDURE update_sal (p_raise_amt NUMBER) IS BEGIN UPDATE emp SET sal = (sal * p_raise_emt) + sal WHERE empno = v_id; END; PROCEDURE insert_emp (p_deptno NUMBER, p_sal NUMBER) IS BEGIN INSERT INTO emp(empno, deptno, sal) VALYES(v_id, p_depntno, p_sal); END insert_emp; PROCEDURE delete_emp IS BEGIN DELETE FROM emp WHERE empno = v_id; END delete_emp; PROCEDURE update_emp IS v_sal NUMBER(10, 2); v_raise NUMBER(10, 2); BEGIN SELECT sal INTO v_sal FROM emp WHERE empno = v_id; IF v_sal < 500 THEN v_raise := .05; ELSIP v_sal < 1000 THEN v_raise := .07; ELSE v_raise := .04; END IF; update_sal(v_raise); END update_emp; FUNCTION calc_tax (p_sal NUMBER) RETURN NUMBER IS BEGIN RETURN p_sal * tax_rate; END calc_tax; END manage_emps; / How many public procedures are in the MANAGE_EMPS package?",(A) One,(B) Two,(C) Three,(D) Four,(E) Five,登入後查看,https://app.yamol.tw/exam/24548?info=item.62
QUESTION 63 Which command must you issue to allow users to access the UPD_TEAM_STAT trigger on the TEAM table?,"(A) GRANT SELECT, INSERT, UPDATE, DELETE ON TEAM TO PUBLIC;","(B) GRANT SELECT,INSERT,UPDATE,DELETE ON UPD_TEAM_STAT TO PUBLIC;",(C) GRANT EXECUTE ON TEAM TO PUBLIC,"(D) GRANT SELECT, EXECUTE ON TEAM, UPD_TEAM_STAT TO PUBLIC;",,登入後查看,https://app.yamol.tw/exam/24548?info=item.63
"QUESTION 64 Examine this code: CREATE OR REPLACE PROCEDURE set_bonus (p_cutoff IN VARCHAR2 DEFAULT 'WEEKLY' p_employee_id IN employees_employee_id%TYPE p_salary IN employees_salary%TYPE, p_bonus_percent IN OUT NUMBER DEFAULT 1.5, p_margin OUT NUMBER DEFAULT 2, p_bonus_value OUT NUMBER) IS BEGIN UPDATE emp_bonus SET bonus_amount =(p_salary * p_bonus_percent)/p_margin WHERE employee_id = p_employee_id; END set_bonus; / You execute the CREATE PROCEDURE statement above and notice that it fails. What are two reasons why it fails? (Choose two) Is d~~ 1. The syntax of the UPDATE statement is incorrect. 2. You cannot update a table using a stored procedure. 3. The format parameter p_bonus_value is declared but is not used anywhere. 4. The formal parameter p_cutoff cannot have a DEFAULT clause. 5. The declaration of the format parameter p_margin cannot have a DEFAULT clause. 6. The declaration of the format parameter p_bonus_percent cannot have a DEFAULT clause.",(A) 12,(B) 23,(C) 34,(D) 56,,登入後查看,https://app.yamol.tw/exam/24548?info=item.64
"複選題
QUESTION 65 Which three statements are true regarding database triggers? (Choose three) acd","(A) A database trigger is a PL/SQL block, C, or Java procedure associated with a table, view, schema, or the database.",(B) A database trigger needs to be executed explicitly whenever a particular event takes place.,(C) A database trigger executes implicitly whenever a particular event takes place.,"(D) A database trigger fires whenever a data event (such as DML) or system event (such as logon, shutdown) occurs on a schema or database.","(E) With a schema, triggers fire for each event for all users; with a database, triggers fire for each event for that specific user.",登入後查看,https://app.yamol.tw/exam/24548?info=item.65
"QUESTION 66 You create a DML trigger. For the timing information, which are valid with a DML trigger?",(A) DURING,(B) IN PLACE OF,(C) ON SHUTDOWN,(D) BEFORE,(E) ON STATEMENT EXECUTION,登入後查看,https://app.yamol.tw/exam/24548?info=item.66
"複選題
QUESTION 67 Which two statements about the overloading feature of packages are true? (Choose two) 頭尾 only over",(A) Only local or packaged subprograms can be overloaded.,(B) Overloading allows different functions with the same name that differ only in their return types.,"(C) Overloading allows different subprograms with the same number, type and order of parameters.",(D) Overloading allows different subprograms with the same name and same number or type of parameters.,"(E) Overloading allows different subprograms with the same name, but different in either number, type or order of parameters.",登入後查看,https://app.yamol.tw/exam/24548?info=item.67
"複選題
QUESTION 68 All users currently have the INSERT privilege on the PLAYER table. You only want your users to insert into this table using the ADD_PLAYTER procedure. Which two actions must you take? (Choose two) BE",(A) CRANT SELECT ON ADD_PLAYER TO PUBLIC;,(B) CRANT EXECTUE ON ADD_PLAYER TO PUBLIC;,(C) CRANT INSERT ON PLAYER TO PUBLIC;,(D) CRANT EXECTUE INSERT ON ADD_PLAYER TO PUBLIC;,(E) REVOKE INSERT ON PLAYER FROM PUBLIC;,登入後查看,https://app.yamol.tw/exam/24548?info=item.68
"QUESTION 69 When creating a function, in which section will you typically find the RETURN keyword?",(A) HEADER only,(B) DECLARATIVE,(C) EXECUTABLE and HEADER,"(D) DECLARATIVE,EXECUTABLE and EXCEPTION HANDLING",,登入後查看,https://app.yamol.tw/exam/24548?info=item.69
QUESTION 70 A dependent procedure or function directly or indirectly references one or more of which four objects? (Choose four) not CE 1. view 2. sequence 3. privilege 4. procedure 5. anonymous block 6. packaged procedure or function,(A) 1234,(B) 2345,(C) 1246,(D) 3456,,登入後查看,https://app.yamol.tw/exam/24548?info=item.70
"複選題
QUESTION 71 Which three are true regarding error propagation? (Choose three) no block",(A) An exception cannot propagate across remote procedure calls.,(B) An exception raised inside a declaration immediately propagates to the current block.,(C) The use of the RAISE; statement in an exception handler reprises the current exception.,(D) An exception raised inside an exception handler immediately propagates to the enclosing block.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.71
"複選題
QUESTION 72 Which two tables or views track object dependencies? (Choose two)",(A) USER_DEPENDENCIES,(B) USER_IDEPTREE,(C) IDEPTREE,(D) USER_DEPTREE,(E) USER_DEPENDS,登入後查看,https://app.yamol.tw/exam/24548?info=item.72
"QUESTION 73 Examine the trigger heading: CREATE OR REPLACE TRIGGER salary_check BEFORE UPDATE OF sal, job ON emp FOR EACH ROW Under which condition does this trigger fire?",(A) When a row is inserted into the EMP table.,(B) When the value of the SAL or JOB column in a row is updated in the EMP table.,(C) When any column other than the SAL and JOB columns in a row are updated in the EMP table.,(D) Only when both values of the SAL and JOB columns in a row are updated together in the EMP table.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.73
QUESTION 74 You have an AFTER UPDATE row-level on the table EMP. The trigger queries the EMP table and inserts the updating user's information into the AUDIT_TABLE. What happens when the user updates rows on the EMP table?,(A) A compile time error occurs.,(B) A runtime error occurs. The effect of trigger body and the triggering statement are rolled back.,"(C) A runtime error occurs. The effect of trigger body is rolled back, but the update on the EMP table takes place.","(D) The trigger fires successfully. The update on the EMP table occurs, and data is inserted into theAUDIT_TABLE table.","(E) A runtime error occurs. The update on the EMP table does not take place, but the insert into the AUDIT_TABLE occurs.",登入後查看,https://app.yamol.tw/exam/24548?info=item.74
"QUESTION 75 The add_player, upd_player_stat, and upd_pitcher_stat procedures are grouped together in a package. A variable must be shared among only these procedures. Where should you declare this variable?",(A) In the package body.,(B) In a database trigger.,(C) In the package specification.,"(D) In each procedure's DECLARE section, using the exact same name in each.",,登入後查看,https://app.yamol.tw/exam/24548?info=item.75
QUESTION 76 Examine this package: CREATE OR REPLACE PACKAGE pack_cur IS CURSOR c1 IS SELECT prodid FROM product ORDER BY Prodid DESC; PROCEDURE Proc1; PROCEDURE Proc2; END pack_cur; / CREATE OR REPLACE PACKAGE BODY pack_cur IS v_prodif NUMBER; PROCEDURE proc1 IS BEGIN OPEN C1; LOOP FETCH c1 INTO V_prodid; DBMS_OUTPUT.PUT_LINE('Row is ;'||C1% ROWCOUNT); EXIT WHEN C1% ROWCOUNT>=3; END LOOP; END PROC1; PROCEDURE proc2 IS BEGIN LOOP FETCH C1 INTO v_prodid; DBMS_OUTPUT-PUT_LINE ( ' Row is: ' ll c1 %ROWCOUNT); EXIT WHEN C1%ROWCOUNT >= 3; END LOOP; END Procl; / The product table has more than 1000 rows. The SQL*Plus SERVEROUTPUT setting is turned on in your session. You execute the procedure PROC1 from SQL *Plus with the command: EXECUTE pack_cur. PROC1; You then execute the procedure PROC2 from SQL *Plus with the command: EXECUTE pack_cur. PROC2; What is the output in your session from the PROC2 procedure?,(A) ERROR at line 1:,(B) Row is: Row is: Rows is:,(C) Row is: 1 Row is: 2 Row is: 3,(D) Row is: 4 Row is: 5 Row is: 6,,登入後查看,https://app.yamol.tw/exam/24548?info=item.76
"QUESTION 77 You disabled all triggers on the EMPLOYEES table to perform a data load. Now, you need to enable all triggers on the EMPLOYEES table. Which command accomplished this?",(A) You cannot enable multiple triggers on a table in one command.,(B) ALTER TRIGGERS ON TABLE employees ENABLE;,(C) ALTER employees ENABLE ALL TRIGGERS;,(D) ALTER TABLE employees ENABLE ALL TRIGGERS;,,登入後查看,https://app.yamol.tw/exam/24548?info=item.77
"QUESTION 78 When creating stored procedures and functions, which construct allows you to transfer values to and from the calling environment?",(A) local variables,(B) arguments,(C) Boolean variables,(D) Substitution variables,,登入後查看,https://app.yamol.tw/exam/24548?info=item.78
"QUESTION 79 You have the following table: CREATE TABLE Emp_log ( Emp_id NUMBER Log_date DATE, New_salary NUMBER, Action VARCHAR (20)); You have the following data in the EMPLOYEES table: EMPLOYEE_ID LAST_NAME SALARY DEPARTMENT_ID ----------- ------------------- ------------ ------------- 100 Bill 24000 90 101 Kochhar 17000 90 102 De Haan 17000 90 103 Hunold 9000 60 104 Ernst 6000 60 105 Austin 4800 60 106 Pataballa 4800 60 107 Lorentz 4200 60 108 Greenberg 12000 100 201 Hartstein 13000 20 202 Fay 6000 20 You create this trigger: CREATE OR REPLACE TRIGGER Log_salary_increase AFTER UPDATE ON employees FOR EACH ROW WHEN (new.Salary > 1000) BEGIN INSERT INTO Emp_log (Emp_id, Log_date, New_Salary, Action) VALUES (:new.Employee_id, SYSDATE, :new.SALary, 'NEW SAL'); END / Then, you enter the following SQL statement: UPDATE Employee SET Salary = Salary + 1000.0 Where Department_id = 20M What are the result in the EMP_LOG table? A EMP_ID LOG_DATE NEW_SALARY ACTION ---------- -------- ---------- ---------- 201 24-SEP-02 13000 NEW SAL 202 24-SEP-02 600 NEW SAL",(B) EMP_ID LOG_DATE NEW_SALARY ACTION ---------- -------- ---------- ---------- 201 24-SEP-02 14000 NEW SAL 202 24-SEP-02 7000 NEW SAL,(C) EMP_ID LOG_DATE NEW_SALARY ACTION ---------- -------- ---------- ---------- 201 24-SEP-02 NEW SAL 202 24-SEP-02 NEW SAL,(D) No rows are inserted.,,,登入後查看,https://app.yamol.tw/exam/24548?info=item.79
QUESTION 80 Which code successfully calculates tax?,(A) CREATE OR REPLACE PROCEDURE calctax (p_no IN NUMBER) RETURN tax IS v_sal NUMBER; tax Number; BEGIN SELECT sal INTO v_sal FROM emp WHERE empno = p_no; tax := v_sal * 0.05; END;,(B) CREATE OR REPLACE FUNCTION calctax (p_no NUMBER) RETURN NUMBER IS v_sal NUMBER BEGIN SELECT sal INTO v_sal FROM emp WHERE empno = p_no; RETURN:= v_sal * 0.05; end,(C) CREATE OR REPLACE FUNCTION calctax (p_no NUMBER) RETURN NUMBER IS v_sal NUMBER; tax NUMBER; BEGIN SELECT sal INTO v_sal FROM emp WHERE empno = p_no; tax := v_sal * 0.05; END,(D) CREATE OR REPLACE FUNCTION calctax (p_no NUMBER) IS v_sal NUMBER; tax NUMBER; BEGIN SELECT sal INTO v_sal FROM emp WHERE empno = p_no; tax := v_sal * 0.05; return (tax); END;,,登入後查看,https://app.yamol.tw/exam/24548?info=item.80
"QUESTION 81 Examine this code: CREATE OR REPLACE FUNCTION gen_email_name (p_first VARCHAR2, p_last VARCHAR2) RETURN VARCHAR2 IS v_email_name VARCHAR (19) ; BEGIN v_email_bame := SUBSTR(p_first, 1, 1) || SUBSRE(p_last, 1, 7) || RETURN v_email_name; END / Which two statements are true? can will 1. This function is invalid. 2. This function can be used against any table. 3. This function cannot be used in a SELECT statement. 4. This function can be used only if the two parameters passed in are not bull values. 5. This function will generate a string based on 2 character values passed into the function. 6. This function can be used only on tables where there is a p_first and p_last column.",(A) 12,(B) 34,(C) 45,(D) 56,,登入後查看,https://app.yamol.tw/exam/24548?info=item.81
QUESTION 82 Examine the code examples. Which one is correct?,(A) CREATE OR REPLACE TRIGGER authorize_action BEFORE INSERT ON EMPLOYEES CALL log_exectution; /,(B) CREATE OR REPLACE TRIGGER authorize_action BEFORE INSERT ON EMPLOYEES CALL log_exectution /,(C) CREATE OR REPLACE TRIGGER authorize_action BEFORE EMPLOYEES INSERT CALL log_exectution;,(D) CREATE OR REPLACE TRIGGER authorize_action CALL log_exectution; BEFORE INSERT ON EMPLOYEES; /,,登入後查看,https://app.yamol.tw/exam/24548?info=item.82
QUESTION 83 You need to create a DML trigger. Which five pieces need to be identified? 1. Table 2. DML event 3. Trigger body 4. Package body 5. Package name 6. Trigger name 7. System event 8. Trigger timing,(A) 13567,(B) 23456,(C) 25678,(D) 12368,,登入後查看,https://app.yamol.tw/exam/24548?info=item.83
"複選題
QUESTION 84 Procedure PROCESS_EMP references the table EMP. Procedure UPDATE_EMP updates rows if table EMP through procedure PROCESS_EMP. There is a remote procedure QUERY_EMP that queries the EMP table through the local procedure PROCESS_EMP. The dependency mode is set to TIMESTAMP in this session. Which two statements are true? (Choose two) BE","(A) If the signature of procedure PROCESS_EMP is modified and successfully recompiles, the EMP table is invalidated.","(B) If internal logic of procedure PROCESS_EMP is modified and successfully recompiles, UPDATE_EMP gets invalidated and will recompile when invoked for the first time.","(C) If the signature of procedure PROCESS_EMP is modified and successfully recompiles, UPDATE_EMP gets invalidated and will recompile when invoked for the first time.","(D) If internal logic of procedure PROCESS_EMP is modified and successfully recompiles, QUERY_EMP gets invalidated and will recompile when invoked for the first time.","(E) If internal logic of procedure PROCESS_EMP is modified and successfully recompiles, QUERY_EMP gets invalidated and will recompile when invoked for the second time.",登入後查看,https://app.yamol.tw/exam/24548?info=item.84
QUESTION 85 Examine this package: CREATE OR REPLACE PACKAGE pack_cur IS CURSOR c1 IS SELECT prodid FROM poduct ORDER BY prodid DESC; PROCEDURE proc1; PROCEDURE proc2; END pack_cur; / CREATE OR REPLACE PACKAGE BODY pack_cur IS v_prodid NUMBER; PROCEDURE proc1 IS BEGIN OPEN C1 LOOP FETCH C1 INTO v_prodid; DBMS_OUTPUT.PUT_LINE ( 'Row is: '| | c1%ROWCOUNT); EXIT WHEN c1%ROWCONT >= 3; END LOOP; END procl; PROCEDURE proc2 IS BEGIN LOOP FETCH C1 INTO v_prodid; DBMS_OUTPUT.PUT_LINE ( 'Row is: '| | c1%ROWCOUNT); EXIT WHEN c1%ROWCONT >= 6; END LOOP; CLOSE C1; END proc2; END pack_cur; / The product table has more than 1000 rows. The SQL *Plus SERVEROUTPUT setting is turned on in your session. You execute the procedure PROC1 from SQL *Plus with the command: EXECUTE pack_cur.proc1 What is the output in your session?,(A) ERROR at line 1:,(B) Row is: Row is: Row is:,(C) Row is: 1 Row is: 2 Row is: 3,(D) Row is: 4 Row is: 5 Row is: 6,,登入後查看,https://app.yamol.tw/exam/24548?info=item.85
QUESTION 86 The add_player procedure inserts rows into the PLAYER table. Which command will show this directory dependency?,(A) SELECT * FROM USER_DEPENDENCIES WHERE REFERENCD NAME = ' PLAYER ' ;,(B) SELECT * FROM USER DEPENDENCIES WHERE REFERENCD NAME = ' ADD PLAYER ' ;,(C) SELECT * FROM USER_DEPENDENCIES WHERE TYPE = 'DIR' ;,(D) SELECT * FROM USER DEPENDENCIES WHERE REFERENCD NAME = ' TABLE ' ;,,登入後查看,https://app.yamol.tw/exam/24548?info=item.86
"QUESTION 87 When using a packaged function in a query, what is true? 中間 2行短",(A) The COMMIT and ROLLBACK commands are allowed in the packaged function.,(B) You can not use packaged functions in a query statement.,"(C) The packaged function cannot execute an INSERT, UPDATE, or DELETE statement against the table that is being queried.","(D) The packaged function can execute and INSERT, UPDATE, or DELETE statement against the table that is being queried if it is used in a subquery.","(E) The packaged function can execute an INSERT, UPDATEM or DELETE statement against the table that is being queried if the pragma RESTRICT REFERENCE is used.",登入後查看,https://app.yamol.tw/exam/24548?info=item.87
QUESTION 88 You have a table with the following definition: CREATE TABLE long_tab ( id NUMBER) long_col LONG) You need to convert the LONG_COL column from a LONG data type to a LOB data type. Which statement accomplish this task?,(A) AKTER TABLE long_tab MODIFY (LONG_COL CLOB);,"(B) EXECUTE dbms_lob.migrate(long_tab, long_col, clob)","(C) EXECUTE dbms_manage.lob.migrate(long_tab, long_col, clob)","(D) EXECUTE utl_lob.migrate(long_tab, long_col, clob)","(E) EXECUTE utl_manage_lob.migrate(long_tab, long_col, clob)",登入後查看,https://app.yamol.tw/exam/24548?info=item.88
QUESTION 89 Why do you use an INSTEAD OF trigger? long,(A) To perform clean up actions when ending a user session.,(B) To insert data into a view that normally does not accept inserts.,(C) To insert into an audit table when data is updated in a sensitive column.,(D) To modify data in which the DML statement has been issued against an inherently non-updateable view.,,登入後查看,https://app.yamol.tw/exam/24548?info=item.89
"QUESTION 90 When using a PL/SQL stored package, how is a side effect defined? long",(A) changes only to database tables,(B) changes only to packaged public variables defined in a package body,(C) changes only to packaged public variables defined in a package specification,(D) changes to database tables or packaged public variables defined in a package body,(E) changes to database tables or packaged variables defined in a package specification,登入後查看,https://app.yamol.tw/exam/24548?info=item.90
"QUESTION 91 Examine this package CREATE OR REPLACE PACKAGE discounts IS g_id NUMBER:=7839 discount_rate NUMBER:=0.00; PROCEDURE display_price(p_price NUMBER); END discount; / CREATE OR REPLACE PACKAGE BODY discounts IS PROCEDURE display_price (p_price NUMBERI) IS BEGIN DBMS_OUTPUT.PUT LINE ( 'Discounted '|| TO_CHAR(p_price*NVL(discount_rate,1))); END discount; BEGIN Discount_rate=0.10; END discounts; / The SOL*Plus SERVEROUTPUT setting is turned on in your session. You execute the procedure DISPLAY_PRICE from SOL*Plus with the command EXECUTE discount.display_price(100); What is the result?",(A) Discounted 10,(B) Discounted 100,(C) Discounted 0.00,(D) Discounted NULL,(E) Discounted 0.10,登入後查看,https://app.yamol.tw/exam/24548?info=item.91
"複選題
QUESTION 92 Which two statements about functions are true? (Choose two.) 頭尾",(A) A function must have a return statement in its body to execute successfully,(B) Client-side functions can be used in SOL statements,(C) A stored function that is called from a SOL statement can return a value of any PL/SOL variable data type,"(D) From SOL*Plus, a function can be executed by giving the command EXECUTE functionname;",(E) A stored function increases efficiency of queries by performing functions on the server rather than in the application,登入後查看,https://app.yamol.tw/exam/24548?info=item.92
"QUESTION 93 Examine this code CREATE OR REPLACE PROCEDURE load bfile (p_flle_loc IN VARCHAR2) IS V_file BFILE; v_filename VARCHAR2(16); CURSOR emp_cursor IS SELECT employee_id FROM employees WHERE Job_id = 'IT_PROG' FROM UPDATE BEGIN FOR emp_record IN emp_cursor LOOP v_filename:=emp_record.emplyee_id||;GIF'; V_file:=BFILENMAE(p_file_loc,v_filename); END LOOP; END; / What does the BFILENAME function do? LONG",(A) It reads data from an external BFILE,(B) It checks for the existence of an external BFILE,(C) It returns a BFILE locator that is associated with a physical LOB binary file on the server's file system,(D) It creates a directory object for use with the external BFILEs,,登入後查看,https://app.yamol.tw/exam/24548?info=item.93
QUESTION 94 Consider this scenario A procedure X references a view Y that is based on a table Z . Which two statements are true? 1. Y is a referenced object 2. Z is a direct dependent of X 3. Y is a direct dependent of X 4. Y is an indirect dependent of X 5. Y is an indirect dependent of Z 6. Z is an indirect dependent of Y,(A) 13,(B) 24,(C) 35,(D) 16,,登入後查看,https://app.yamol.tw/exam/24548?info=item.94
"QUESTION 95 Examine this code CREATE OR REPLACE FUNCTION change_dept (p_old_id NUMBER, p_deptname VARCHAR2) RETURN NUMBER IS v_new_id NUMBER BEGIN SELECT departments_seq.nextval INTO v_new_id FROM dual; UPDATE departments SET departmenet_id = v_new_id, Department_name = p_deptname WHERE department_id=p_old_id; Return v_new_id; End; / There are no foreign key integrity constraints on the EMPLOYEES and DEPARTMENTS tables. Which statement performs a successful update to the EMPLOYEES table?","(A) UPDATE departments SET department_id = change_dept(10, 'Finance') Where dapartment_id=10;","(B) UPDATE employees SET department_id = change_dept(10, 'Finance') Where dapartment_id=10;","(C) UPDATE departments change_dept(270, 'Outsource') Where dapartment_name='payroll';","(D) UPDATE employees SET department_id = change_dept(10, 'Finance') WHERE department_id = DEPARTMENTS:CURRVAl;",,登入後查看,https://app.yamol.tw/exam/24548?info=item.95
"複選題
QUESTION 96 Which two statements about object dependencies are accurate? (Choose two.) 中間長度 BD","(A) When referencing a package procedure or function from a stand-alone procedure or function, if the package specification changes, the package body remains valid but the stand-alone procedure becomes invalid","(B) When referencing a package procedure or function from a stand-alone procedure or function, if the package body changes and the package specification does not change, the stand-alone procedure referencing a package construct remains valid.","(C) When referencing a package procedure or function from a stand-alone procedure or function, if the package body changes and the package specification does not change, the stand-alone procedure referencing a package construct becomes invalid","(D) When referencing a package procedure or function from a stand-alone procedure or function, If the package specification changes, the stand-alone procedure referencing a package construct as well as the package body become invalid",,登入後查看,https://app.yamol.tw/exam/24548?info=item.96
"複選題
QUESTION 97 You need to create a trigger to ensure that information in the EMP table is only modified during business hours, Monday to Friday from 9:00am to 500pm Which types of trigger do you create? (Choose two.)",(A) row level AFTER INSERT OR UPDATE OR DELETE ON EMP,(B) row level BEFORE INSERT OR UPDATE OR DELETE ON EMP,(C) statement level AFTER INSERT OR UPDATE OR DELETE ON EMP,(D) statement level BEFORE INSERT OR UPDATE OR DELETE ON EMP,,登入後查看,https://app.yamol.tw/exam/24548?info=item.97
